latitude,longitude,description,location,name,category,type,timestamp,color
38.9874,-79.157,Amet,Fugiat Est Dolorem,Ea,Porro Lor,1,09/16/2016 19:39:30,green
36.821,-79.8439,Amet,Dolorem Cupiditate Placeat,Volupt,Porro Lor,2,09/28/2016 11:16:00,white
34.0441,-79.6227,Sed Fuga,Ab Quas,Ut,Porro Lor,3,11/29/2016 13:55:26,blue
32.2245,-78.7331,Sed Fuga,Ab Quas,Ea,Porro Lor,1,10/29/2016 17:09:59,blue
33.5143,-78.0987,Sed Fuga,Cumque Minus Repudiandae,Quidem,Porro Lor,3,09/03/2016 16:20:39,white
33.7944,-78.436,Amet,Ab Quas,Nihil,Porro Lor,2,10/29/2016 17:09:59,yellow
33.5143,-78.7331,Sed Fuga,Temporibus In Necessitatibus,Pariatur,Porro Lor,2,09/16/2016 19:39:30,orange
33.7944,-79.1307,Et Ut Dolo,Reiciendis Placeat Veniam,Molestias Quae,Porro Lor,2,09/28/2016 11:16:00,red
37.0767,-79.1307,Et Ut Dolo,Fuga Alias,Quidem,Porro Lor,3,11/05/2016 16:43:25,purple
32.4539,-78.747,Et Ut Dolo,Ab Quas,Ea,Porro Lor,2,10/29/2016 17:09:59,white
32.7716,-78.2207,Quis,Dolorem Cupiditate Placeat,Molestias Quae,Porro Lor,3,09/28/2016 11:16:00,black
36.821,-79.239,Sed Eum V,Ab Quas,Repellendus,Porro Lor,2,09/28/2016 11:16:00,green
33.5143,-78.7331,Quis,Quam Ut Voluptatem,Quidem,Porro Lor,3,09/03/2016 16:20:39,white
34.3043,-78.747,Et Ut Dolo,Recusandae Quis Minim,Numquam,Porro Lor,2,09/03/2016 16:20:39,orange
32.7716,-79.956,Quis,Fuga Alias,Pariatur,Porro Lor,3,10/17/2016 00:38:21,blue
33.5143,-79.2101,Et Ut Dolo,Quam Ut Voluptatem,Ex Nemo,Porro Lor,1,10/29/2016 17:09:59,yellow
32.4539,-79.6227,Sed Eum V,Temporibus In Necessitatibus,Cumque,Porro Lor,1,11/05/2016 16:43:25,black
33.5143,-79.6227,Et Ut Dolo,Fuga Alias,Nulla,Porro Lor,2,10/12/2016 13:37:14,yellow
34.0441,-79.157,Amet,Fuga Alias,Nulla,Porro Lor,1,11/29/2016 13:55:26,grey
32.6743,-78.436,Sed Fuga,Et Ipsa Aut,Aliquid,Porro Lor,2,11/29/2016 13:55:26,white
33.1663,-78.436,Amet,Dolorem Cupiditate Placeat,Volupt,Porro Lor,1,09/03/2016 16:20:39,blue
36.821,-79.6227,Quis,Reiciendis Placeat Veniam,Cumque,Porro Lor,2,10/29/2016 17:09:59,black
37.0767,-78.0321,Quis,Cumque Minus Repudiandae,Ex Nemo,Porro Lor,2,11/05/2016 16:43:25,blue
32.6743,-79.6415,Sed Eum V,Quam Ut Voluptatem,Quidem,Porro Lor,1,10/29/2016 17:09:59,green
36.821,-79.6415,Quis,Ab Quas,Aliquid,Porro Lor,2,09/28/2016 11:16:00,white
38.9874,-79.2101,Et Ut Dolo,Ab Quas,Ut,Porro Lor,2,09/03/2016 16:20:39,orange
33.5143,-79.8694,Et Ut Dolo,Quam Ut Voluptatem,Tempor Si,Porro Lor,3,10/29/2016 17:09:59,yellow
32.6743,-79.157,Amet,Et Ipsa Aut,Quidem,Porro Lor,1,09/03/2016 16:20:39,yellow
37.0767,-79.6227,Sed Fuga,Fuga Alias,Volupt,Porro Lor,2,09/28/2016 11:16:00,red
33.7944,-79.0225,Sed Fuga,Quam Ut Voluptatem,Vero,Porro Lor,3,09/16/2016 19:39:30,blue
32.6743,-79.0225,Amet,Fuga Alias,Ex Nemo,Porro Lor,3,11/05/2016 16:43:25,green
34.3043,-79.239,Amet,Quam Ut Voluptatem,Neque Optio,Porro Lor,2,11/05/2016 16:43:25,blue
34.3043,-79.1307,Sed Fuga,Temporibus In Necessitatibus,Molestias Quae,Porro Lor,3,11/29/2016 13:55:26,orange
34.599,-79.0631,Sed Fuga,Dolorem Cupiditate Placeat,Nulla,Porro Lor,2,10/29/2016 17:09:59,orange
32.2245,-78.436,Et Ut Dolo,Cumque Minus Repudiandae,Volupt,Porro Lor,2,09/03/2016 16:20:39,red
32.743,-79.157,Et Ut Dolo,Et Ipsa Aut,A,Porro Lor,2,11/23/2016 19:25:29,purple
32.7716,-79.6415,Amet,Fuga Alias,Quidem,Porro Lor,2,11/29/2016 13:55:26,red
38.9874,-79.239,Amet,Reiciendis Placeat Veniam,Possim,Porro Lor,2,11/23/2016 19:25:29,green
33.1663,-79.2101,Et Ut Dolo,Quam Ut Voluptatem,Volupt,Porro Lor,2,09/16/2016 19:39:30,white
33.1663,-79.6227,Sed Eum V,Temporibus In Necessitatibus,Neque Optio,Porro Lor,2,09/05/2016 15:45:21,orange
33.5143,-79.239,Amet,Et Ipsa Aut,Ea,Porro Lor,2,10/29/2016 17:09:59,red
34.3043,-79.6227,Sed Fuga,Ab Quas,Tempor Si,Porro Lor,2,10/29/2016 17:09:59,blue
33.5143,-79.6227,Et Ut Dolo,Ab Quas,Recusandae As,Porro Lor,2,11/23/2016 19:25:29,blue
33.7944,-79.1307,Sed Fuga,Recusandae Quis Minim,Recusandae As,Porro Lor,2,10/12/2016 13:37:14,orange
33.1663,-79.157,Sed Fuga,Cumque Minus Repudiandae,Autem,Porro Lor,3,09/28/2016 11:16:00,yellow
33.1663,-79.0631,Sed Eum V,Et Ipsa Aut,Volupt,Porro Lor,1,11/29/2016 13:55:26,green
36.821,-79.0225,Amet,Fugiat Est Dolorem,Ex Nemo,Porro Lor,3,10/29/2016 17:09:59,grey
32.6743,-78.436,Et Ut Dolo,Reiciendis Placeat Veniam,Ea,Porro Lor,2,10/29/2016 17:09:59,black
33.7509,-79.8439,Sed Eum V,Cumque Minus Repudiandae,Ex Nemo,Porro Lor,2,11/05/2016 16:43:25,green
33.5143,-78.7331,Sed Eum V,Et Ipsa Aut,Numquam,Porro Lor,2,09/03/2016 16:20:39,yellow
32.7716,-79.157,Sed Eum V,Fuga Alias,Pariatur,Porro Lor,3,11/23/2016 19:25:29,grey
33.5143,-79.239,Sed Eum V,Et Ipsa Aut,Nulla,Porro Lor,2,11/29/2016 13:55:26,green
32.743,-79.0225,Et Ut Dolo,Reiciendis Placeat Veniam,Aliquid,Porro Lor,2,11/05/2016 16:43:25,red
32.4539,-78.2484,Sed Eum V,Dolorem Cupiditate Placeat,Quidem,Porro Lor,3,09/16/2016 19:39:30,blue
36.821,-79.0225,Quis,Fugiat Est Dolorem,Pariatur,Porro Lor,2,11/23/2016 19:25:29,yellow
32.743,-79.6415,Et Ut Dolo,Quam Ut Voluptatem,Nulla,Porro Lor,2,09/03/2016 16:20:39,grey
36.821,-79.157,Et Ut Dolo,Temporibus In Necessitatibus,Ex Nemo,Porro Lor,2,09/05/2016 15:45:21,purple
32.6743,-79.0631,Sed Eum V,Reiciendis Placeat Veniam,Ea,Porro Lor,3,09/16/2016 19:39:30,blue
34.599,-78.7331,Amet,Ab Quas,A,Porro Lor,2,11/29/2016 13:55:26,green
32.7716,-79.6415,Sed Fuga,Recusandae Quis Minim,A,Porro Lor,3,10/17/2016 00:38:21,red
36.821,-78.7331,Sed Eum V,Quam Ut Voluptatem,Volupt,Porro Lor,2,11/29/2016 13:55:26,yellow
32.743,-79.239,Sed Eum V,Reiciendis Placeat Veniam,Ex Nemo,Porro Lor,2,09/03/2016 16:20:39,black
32.7716,-78.2207,Et Ut Dolo,Et Ipsa Aut,Vero,Porro Lor,2,09/16/2016 19:39:30,white
36.821,-78.747,Amet,Et Ipsa Aut,Ex Nemo,Porro Lor,2,09/28/2016 11:16:00,yellow
34.599,-78.0321,Amet,Et Ipsa Aut,Cumque,Porro Lor,3,09/16/2016 19:39:30,purple
32.4539,-78.2207,Quis,Temporibus In Necessitatibus,Quidem,Porro Lor,2,11/05/2016 16:43:25,yellow
33.5143,-79.157,Et Ut Dolo,Fuga Alias,Quidem,Porro Lor,3,11/23/2016 19:25:29,purple
32.7716,-78.436,Et Ut Dolo,Quam Ut Voluptatem,Molestias Quae,Porro Lor,1,11/23/2016 19:25:29,black
32.743,-79.4434,Sed Fuga,Temporibus In Necessitatibus,Ut,Porro Lor,2,10/17/2016 00:38:21,purple
37.0767,-78.2207,Sed Fuga,Quam Ut Voluptatem,Elit Volup,Porro Lor,2,10/12/2016 13:37:14,purple
33.1663,-78.2206,Amet,Cumque Minus Repudiandae,Ut Dolorum,Porro Lor,1,11/23/2016 19:25:29,white
32.2245,-78.2206,Amet,Temporibus In Necessitatibus,Quidem,Porro Lor,2,11/29/2016 13:55:26,green
32.2245,-79.4434,Sed Fuga,Temporibus In Necessitatibus,Repellendus,Porro Lor,2,10/29/2016 17:09:59,green
33.1663,-79.1307,Sed Fuga,Recusandae Quis Minim,Vero,Porro Lor,1,09/28/2016 11:16:00,black
34.3043,-79.157,Et Ut Dolo,Quam Ut Voluptatem,Elit Volup,Porro Lor,2,11/05/2016 16:43:25,yellow
37.0767,-79.1307,Sed Fuga,Fuga Alias,Ut Dolorum,Porro Lor,3,11/23/2016 19:25:29,blue
32.2245,-79.8694,Amet,Fugiat Est Dolorem,Cumque,Porro Lor,1,10/12/2016 13:37:14,black
33.1663,-78.2484,Quis,Cumque Minus Repudiandae,Quidem,Porro Lor,3,09/16/2016 19:39:30,green
36.821,-79.2101,Sed Fuga,Quam Ut Voluptatem,Cumque,Porro Lor,1,11/29/2016 13:55:26,yellow
34.3043,-79.0631,Sed Fuga,Recusandae Quis Minim,Volupt,Porro Lor,3,09/03/2016 16:20:39,red
36.821,-79.4434,Sed Eum V,Cumque Minus Repudiandae,Quidem,Porro Lor,2,11/23/2016 19:25:29,black
33.1663,-79.0225,Sed Fuga,Quam Ut Voluptatem,Molestias Quae,Porro Lor,2,09/16/2016 19:39:30,yellow
32.4539,-79.956,Sed Fuga,Fuga Alias,Cumque,Porro Lor,2,10/17/2016 00:38:21,red
34.3043,-78.2206,Sed Eum V,Et Ipsa Aut,Recusandae As,Porro Lor,3,09/03/2016 16:20:39,green
34.0441,-78.2206,Amet,Et Ipsa Aut,Nulla,Porro Lor,1,10/29/2016 17:09:59,black
32.2245,-79.956,Quis,Dolorem Cupiditate Placeat,Volupt,Porro Lor,2,11/05/2016 16:43:25,green
33.5143,-79.6227,Et Ut Dolo,Fuga Alias,Quidem,Porro Lor,2,09/16/2016 19:39:30,purple
32.7716,-79.1307,Amet,Fugiat Est Dolorem,Nulla,Porro Lor,2,11/29/2016 13:55:26,green
37.0767,-79.0225,Sed Eum V,Temporibus In Necessitatibus,Volupt,Porro Lor,2,11/05/2016 16:43:25,white
32.7716,-78.7331,Et Ut Dolo,Recusandae Quis Minim,Volupt,Porro Lor,2,11/05/2016 16:43:25,purple
34.0441,-78.2207,Sed Fuga,Cumque Minus Repudiandae,Repellendus,Porro Lor,2,09/16/2016 19:39:30,black
38.9874,-79.1307,Sed Fuga,Et Ipsa Aut,Repellendus,Porro Lor,2,11/29/2016 13:55:26,yellow
34.3043,-79.8439,Sed Fuga,Ab Quas,Pariatur,Porro Lor,2,10/17/2016 00:38:21,white
34.599,-79.0225,Sed Eum V,Ab Quas,Quidem,Porro Lor,3,09/03/2016 16:20:39,purple
33.7509,-79.6415,Et Ut Dolo,Quam Ut Voluptatem,Quidem,Porro Lor,1,10/12/2016 13:37:14,green
34.599,-79.956,Amet,Cumque Minus Repudiandae,A,Porro Lor,2,09/28/2016 11:16:00,purple
34.0441,-79.0631,Sed Fuga,Recusandae Quis Minim,Vero,Porro Lor,2,10/29/2016 17:09:59,black
36.821,-79.0631,Et Ut Dolo,Cumque Minus Repudiandae,Possim,Porro Lor,2,11/05/2016 16:43:25,yellow
33.7509,-79.6227,Sed Eum V,Fuga Alias,Repellendus,Porro Lor,3,11/29/2016 13:55:26,blue
32.4539,-79.6227,Amet,Dolorem Cupiditate Placeat,Ea,Porro Lor,1,11/29/2016 13:55:26,white
32.743,-79.6415,Amet,Ab Quas,Cumque,Porro Lor,1,09/28/2016 11:16:00,grey
38.9874,-79.0631,Amet,Et Ipsa Aut,Neque Optio,Porro Lor,2,11/29/2016 13:55:26,blue
32.4539,-78.0987,Et Ut Dolo,Temporibus In Necessitatibus,Recusandae As,Porro Lor,3,09/05/2016 15:45:21,orange
37.0767,-78.0987,Amet,Fugiat Est Dolorem,Vero,Porro Lor,1,09/28/2016 11:16:00,white
32.743,-79.6227,Sed Eum V,Fuga Alias,Ea,Porro Lor,1,09/28/2016 11:16:00,orange
38.9874,-79.4434,Sed Eum V,Et Ipsa Aut,Tempor Si,Porro Lor,1,09/03/2016 16:20:39,white
33.7509,-79.157,Et Ut Dolo,Cumque Minus Repudiandae,Aliquid,Porro Lor,2,10/12/2016 13:37:14,red
32.2245,-79.4434,Et Ut Dolo,Et Ipsa Aut,Cumque,Porro Lor,3,09/03/2016 16:20:39,blue
36.821,-79.157,Amet,Fugiat Est Dolorem,Molestias Quae,Porro Lor,1,09/28/2016 11:16:00,black
32.2245,-79.6415,Et Ut Dolo,Quam Ut Voluptatem,Pariatur,Porro Lor,3,11/23/2016 19:25:29,grey
37.0767,-79.239,Sed Fuga,Temporibus In Necessitatibus,Repellendus,Porro Lor,2,10/29/2016 17:09:59,orange
33.5143,-79.6415,Et Ut Dolo,Dolorem Cupiditate Placeat,Nihil,Porro Lor,2,10/29/2016 17:09:59,red
34.3043,-79.6415,Sed Eum V,Fuga Alias,Pariatur,Porro Lor,1,09/16/2016 19:39:30,orange
32.6743,-79.6415,Sed Fuga,Recusandae Quis Minim,Elit Volup,Porro Lor,1,09/28/2016 11:16:00,black
32.6743,-79.6227,Amet,Recusandae Quis Minim,Pariatur,Porro Lor,1,09/28/2016 11:16:00,yellow
36.821,-78.0321,Et Ut Dolo,Ab Quas,Quidem,Porro Lor,2,10/12/2016 13:37:14,white
37.0767,-78.747,Sed Eum V,Recusandae Quis Minim,Vero,Porro Lor,1,10/12/2016 13:37:14,green
32.4539,-78.2207,Et Ut Dolo,Cumque Minus Repudiandae,Pariatur,Porro Lor,3,10/17/2016 00:38:21,orange
32.6743,-79.6415,Sed Fuga,Ab Quas,Id Et,Porro Lor,2,09/03/2016 16:20:39,grey
34.0441,-79.2101,Sed Fuga,Fugiat Est Dolorem,Pariatur,Porro Lor,1,11/05/2016 16:43:25,orange
38.9874,-78.2484,Amet,Dolorem Cupiditate Placeat,Volupt,Porro Lor,1,09/05/2016 15:45:21,orange
32.4539,-79.6415,Sed Eum V,Temporibus In Necessitatibus,Pariatur,Porro Lor,3,09/05/2016 15:45:21,white
32.7716,-79.0631,Et Ut Dolo,Fuga Alias,Vero,Porro Lor,2,10/29/2016 17:09:59,yellow
38.9874,-79.157,Quis,Fuga Alias,Repellendus,Porro Lor,1,09/03/2016 16:20:39,purple
32.6743,-79.6415,Sed Eum V,Fugiat Est Dolorem,Volupt,Porro Lor,2,09/03/2016 16:20:39,purple
32.4539,-78.7331,Amet,Fuga Alias,Volupt,Porro Lor,2,11/05/2016 16:43:25,blue
33.7509,-79.1307,Et Ut Dolo,Dolorem Cupiditate Placeat,Possim,Porro Lor,2,11/23/2016 19:25:29,green
34.3043,-79.8439,Sed Fuga,Recusandae Quis Minim,Nihil,Porro Lor,1,10/12/2016 13:37:14,red
32.7716,-78.2484,Amet,Et Ipsa Aut,Ea,Porro Lor,1,11/05/2016 16:43:25,black
33.5143,-78.0321,Amet,Recusandae Quis Minim,Aliquid,Porro Lor,1,11/29/2016 13:55:26,black
38.9874,-79.8439,Amet,Cumque Minus Repudiandae,Id Et,Porro Lor,2,09/16/2016 19:39:30,black
32.2245,-79.4434,Et Ut Dolo,Temporibus In Necessitatibus,A,Porro Lor,2,10/29/2016 17:09:59,orange
32.2245,-79.4434,Sed Fuga,Fugiat Est Dolorem,Ut,Porro Lor,3,09/28/2016 11:16:00,black
37.0767,-79.239,Et Ut Dolo,Ab Quas,Possim,Porro Lor,3,11/23/2016 19:25:29,black
32.2245,-79.4434,Sed Fuga,Et Ipsa Aut,Neque Optio,Porro Lor,2,10/29/2016 17:09:59,green
32.4539,-79.0631,Sed Fuga,Recusandae Quis Minim,Pariatur,Porro Lor,2,11/05/2016 16:43:25,blue
38.9874,-79.239,Et Ut Dolo,Et Ipsa Aut,Nihil,Porro Lor,3,10/12/2016 13:37:14,white
32.2245,-78.0321,Amet,Fuga Alias,Recusandae As,Porro Lor,2,09/28/2016 11:16:00,white
32.4539,-78.7331,Et Ut Dolo,Et Ipsa Aut,Ex Nemo,Porro Lor,2,10/17/2016 00:38:21,red
32.4539,-79.956,Et Ut Dolo,Ab Quas,Autem,Porro Lor,1,09/03/2016 16:20:39,green
33.1663,-79.8439,Sed Eum V,Temporibus In Necessitatibus,Vero,Porro Lor,3,11/23/2016 19:25:29,purple
37.0767,-78.2207,Sed Fuga,Dolorem Cupiditate Placeat,Id Et,Porro Lor,2,09/03/2016 16:20:39,black
32.6743,-79.6415,Sed Eum V,Reiciendis Placeat Veniam,Ut,Porro Lor,2,10/12/2016 13:37:14,yellow
34.0441,-79.4434,Quis,Et Ipsa Aut,Recusandae As,Porro Lor,3,09/28/2016 11:16:00,purple
32.7716,-78.0321,Sed Fuga,Et Ipsa Aut,Aliquid,Porro Lor,2,10/12/2016 13:37:14,grey
34.3043,-78.2207,Quis,Et Ipsa Aut,Tempor Si,Porro Lor,2,09/16/2016 19:39:30,blue
34.3043,-79.157,Et Ut Dolo,Temporibus In Necessitatibus,Ea,Porro Lor,1,09/16/2016 19:39:30,green
37.0767,-79.956,Quis,Ab Quas,Recusandae As,Porro Lor,3,09/03/2016 16:20:39,grey
33.7944,-78.0321,Amet,Fugiat Est Dolorem,Elit Volup,Porro Lor,1,11/29/2016 13:55:26,white
33.1663,-79.8439,Amet,Ab Quas,Possim,Porro Lor,3,11/29/2016 13:55:26,green
32.743,-79.956,Sed Fuga,Fuga Alias,Numquam,Porro Lor,2,11/29/2016 13:55:26,black
32.4539,-79.8439,Quis,Dolorem Cupiditate Placeat,Elit Volup,Porro Lor,1,10/12/2016 13:37:14,black
32.6743,-78.747,Et Ut Dolo,Dolorem Cupiditate Placeat,Id Et,Porro Lor,3,09/05/2016 15:45:21,orange
32.2245,-78.2206,Quis,Temporibus In Necessitatibus,Recusandae As,Porro Lor,2,09/03/2016 16:20:39,white
38.9874,-78.7331,Sed Fuga,Dolorem Cupiditate Placeat,Possim,Porro Lor,3,10/12/2016 13:37:14,green
38.9874,-79.6415,Sed Eum V,Cumque Minus Repudiandae,Ut Dolorum,Porro Lor,2,11/05/2016 16:43:25,yellow
34.599,-79.4434,Sed Eum V,Dolorem Cupiditate Placeat,Autem,Porro Lor,2,09/05/2016 15:45:21,white
32.2245,-79.0631,Amet,Ab Quas,Ut,Porro Lor,3,11/29/2016 13:55:26,blue
32.4539,-79.239,Sed Fuga,Fugiat Est Dolorem,Recusandae As,Porro Lor,1,11/23/2016 19:25:29,orange
32.4539,-79.0225,Et Ut Dolo,Et Ipsa Aut,Volupt,Porro Lor,1,09/28/2016 11:16:00,purple
34.3043,-79.956,Sed Eum V,Fuga Alias,Nihil,Porro Lor,1,11/05/2016 16:43:25,black
37.0767,-78.0987,Quis,Ab Quas,Repellendus,Porro Lor,2,09/28/2016 11:16:00,white
32.4539,-78.2206,Amet,Recusandae Quis Minim,Molestias Quae,Porro Lor,1,09/03/2016 16:20:39,white
37.0767,-79.2101,Et Ut Dolo,Et Ipsa Aut,Numquam,Porro Lor,3,11/05/2016 16:43:25,blue
32.4539,-79.6415,Sed Fuga,Dolorem Cupiditate Placeat,Repellendus,Porro Lor,2,11/23/2016 19:25:29,blue
32.743,-79.8439,Quis,Reiciendis Placeat Veniam,Quidem,Porro Lor,2,11/05/2016 16:43:25,purple
33.5143,-78.7331,Sed Fuga,Cumque Minus Repudiandae,Recusandae As,Porro Lor,3,09/03/2016 16:20:39,blue
34.0441,-79.0225,Sed Fuga,Fugiat Est Dolorem,Ut Dolorum,Porro Lor,2,11/05/2016 16:43:25,white
34.3043,-79.4434,Amet,Dolorem Cupiditate Placeat,Quidem,Porro Lor,1,09/03/2016 16:20:39,purple
33.5143,-79.8439,Amet,Reiciendis Placeat Veniam,A,Porro Lor,2,10/29/2016 17:09:59,white
37.0767,-78.0321,Sed Fuga,Reiciendis Placeat Veniam,Quidem,Porro Lor,3,11/05/2016 16:43:25,orange
32.4539,-78.7331,Amet,Cumque Minus Repudiandae,Autem,Porro Lor,1,10/12/2016 13:37:14,white
33.1663,-79.8694,Sed Eum V,Quam Ut Voluptatem,Numquam,Porro Lor,2,09/05/2016 15:45:21,blue
32.2245,-78.0321,Amet,Cumque Minus Repudiandae,Recusandae As,Porro Lor,2,11/29/2016 13:55:26,orange
36.821,-79.157,Sed Fuga,Quam Ut Voluptatem,Molestias Quae,Porro Lor,2,09/03/2016 16:20:39,purple
32.743,-79.6227,Amet,Et Ipsa Aut,Molestias Quae,Porro Lor,1,11/05/2016 16:43:25,blue
36.821,-78.747,Et Ut Dolo,Ab Quas,Autem,Porro Lor,2,11/29/2016 13:55:26,blue
32.6743,-79.8439,Amet,Fugiat Est Dolorem,Pariatur,Porro Lor,2,09/28/2016 11:16:00,black
33.7509,-78.0321,Amet,Temporibus In Necessitatibus,A,Porro Lor,3,10/29/2016 17:09:59,red
38.9874,-79.0225,Amet,Reiciendis Placeat Veniam,Cumque,Porro Lor,2,09/16/2016 19:39:30,red
34.0441,-79.0225,Sed Fuga,Cumque Minus Repudiandae,Aliquid,Porro Lor,1,09/16/2016 19:39:30,green
32.6743,-78.2207,Et Ut Dolo,Et Ipsa Aut,Itaque,Porro Lor,2,10/12/2016 13:37:14,yellow
33.7509,-79.1307,Amet,Fuga Alias,A,Porro Lor,2,09/16/2016 19:39:30,black
34.3043,-78.2207,Et Ut Dolo,Quam Ut Voluptatem,Id Et,Porro Lor,2,10/17/2016 00:38:21,white
32.2245,-79.8439,Amet,Reiciendis Placeat Veniam,Tempor Si,Porro Lor,2,09/03/2016 16:20:39,white
32.2245,-78.2207,Sed Fuga,Et Ipsa Aut,Pariatur,Porro Lor,1,11/05/2016 16:43:25,green
32.6743,-79.956,Sed Fuga,Quam Ut Voluptatem,Nihil,Porro Lor,3,10/29/2016 17:09:59,purple
33.5143,-78.436,Amet,Et Ipsa Aut,Nulla,Porro Lor,1,09/05/2016 15:45:21,purple
32.2245,-79.956,Quis,Ab Quas,Tempor Si,Porro Lor,2,09/28/2016 11:16:00,white
37.0767,-79.1307,Sed Fuga,Dolorem Cupiditate Placeat,Numquam,Porro Lor,3,09/05/2016 15:45:21,red
33.1663,-78.0987,Et Ut Dolo,Reiciendis Placeat Veniam,Id Et,Porro Lor,1,10/29/2016 17:09:59,yellow
32.2245,-79.956,Et Ut Dolo,Fuga Alias,Recusandae As,Porro Lor,2,09/03/2016 16:20:39,yellow
33.7509,-78.2484,Sed Fuga,Recusandae Quis Minim,A,Porro Lor,1,09/03/2016 16:20:39,blue
32.4539,-79.239,Amet,Temporibus In Necessitatibus,Recusandae As,Porro Lor,3,09/28/2016 11:16:00,red
33.1663,-78.747,Amet,Reiciendis Placeat Veniam,A,Porro Lor,2,11/23/2016 19:25:29,blue
33.7944,-79.4434,Sed Fuga,Ab Quas,Molestias Quae,Porro Lor,1,10/12/2016 13:37:14,orange
38.9874,-79.956,Sed Fuga,Fuga Alias,Possim,Porro Lor,3,09/16/2016 19:39:30,white
33.1663,-79.6227,Amet,Fugiat Est Dolorem,Aliquid,Porro Lor,2,10/17/2016 00:38:21,purple
32.4539,-79.6227,Quis,Reiciendis Placeat Veniam,Ut Dolorum,Porro Lor,2,10/17/2016 00:38:21,yellow
33.7509,-79.239,Amet,Quam Ut Voluptatem,Nulla,Porro Lor,2,09/03/2016 16:20:39,orange
32.2245,-79.956,Sed Eum V,Cumque Minus Repudiandae,Ea,Porro Lor,2,10/12/2016 13:37:14,black
38.9874,-79.956,Sed Eum V,Cumque Minus Repudiandae,Tempor Si,Porro Lor,2,11/05/2016 16:43:25,red
32.6743,-79.956,Et Ut Dolo,Reiciendis Placeat Veniam,Possim,Porro Lor,2,11/29/2016 13:55:26,yellow
33.5143,-78.0987,Sed Eum V,Quam Ut Voluptatem,Repellendus,Porro Lor,2,09/16/2016 19:39:30,purple
36.821,-79.0631,Et Ut Dolo,Recusandae Quis Minim,Repellendus,Porro Lor,2,11/29/2016 13:55:26,orange
